,0
0,0.7185766876052527
1,4.1004919534715745
2,-0.43982726441254555
3,1.367843022262258
4,2.806723348654678
5,0.3170114048315411
6,2.4553718654535577
7,-0.9556431338304556
8,-1.7742290008306383
9,-0.8099312963314963
10,-0.46988973089612407
11,2.4916795662864626
12,-2.254350163331728
13,-0.9897264545992634
14,2.5148659329315337
15,1.5038964017517156
16,1.8467290116389474
17,-5.320176981968224
18,1.5422390946511704
19,-2.436114931579769
20,2.09823420198836
21,-0.6800682963600965
22,1.3586691498335672
23,-1.6386147453690743
24,1.8988734251141812
25,1.7508575084750408
26,0.7796523239280515
27,-2.3382247663966194
28,1.2703478938418908
29,1.1389370680276028
30,2.9965806011620804
31,0.9514013721845953
32,-1.492688179326305
33,-4.762825494886041
34,-0.8702690956162575
35,-1.9614092288420026
36,-1.3237620147440494
37,-2.5008331261283945
38,-0.7352989559009329
39,1.2908956369468059
40,-4.129324662433578
41,2.2261631179155685
42,0.8575268081852918
43,2.8120971444301617
44,-4.869384643327029
45,-0.5104124541716967
46,1.5704314746209975
47,0.873070881509885
48,-0.6405224755715685
49,1.7622864713029973
50,1.737767761190492
51,-0.7500358490969075
52,-2.5510406484932955
53,-0.14252517109411147
54,-0.24835957582107607
55,0.9223871219144208
56,-2.0072785909582618
57,2.7979482783618406
58,-0.25132351204276837
59,0.5221773298381762
60,-2.867288983354786
61,-0.41679815577358353
62,0.408152454101233
63,-1.3010320581406587
64,1.7572501922052204
65,-1.1422944569175708
66,3.0605139819183305
67,4.178455420631587
68,4.032508529838467
69,0.3141571802626933
70,0.9954466789376446
71,-0.156446809205797
72,-3.204562037489787
73,-0.1426555534686964
74,-1.4603014201250408
75,-1.570009115666837
76,3.868010895888219
77,1.8025699357998393
78,0.045537963871964314
79,1.6694285145242338
80,4.257939643448525
81,-0.7150380176304442
82,-1.9810014861631975
83,-1.2964608819893995
84,-0.5973954718869684
85,1.6197618634179307
86,4.1265343064319016
87,1.8609864134365908
88,-3.081211253407251
89,-2.6621880040696007
90,1.39178694608621
91,-1.9794409602706153
92,1.5538487975326924
93,-1.3248681591329923
94,-0.7715784385694054
95,2.6419651918673273
96,1.1038762963909394
97,-0.5958660530621911
98,-0.6690372150903323
99,-0.9970472478573963
100,-3.03629423173972
101,-3.0390499455407882
102,-3.2824091846790227
103,-2.919105835629014
104,0.6423380357254175
105,-2.9470225112469177
106,0.38754036863967706
107,1.4210827001222757
108,1.3091646835879052
109,1.4249821040109063
110,-2.783998091975205
111,-1.0726595548139324
112,1.2986979676223058
113,-2.3328204021510652
114,-1.094250781541907
115,-1.4211357114142786
116,3.0285058085001397
117,-0.5598422879770497
118,-1.1524675139316698
119,-0.2608024155439293
120,-1.126218763983716
121,0.3242243380765036
122,-2.5915462102123894
123,-1.3658322781806818
124,2.890537119632458
125,-1.5138780106730825
126,-1.8806710493384697
127,-3.1242757990894225
128,-1.4481308349101578
129,0.6364549136734504
130,-0.0549730828658853
131,4.383053338725623
132,0.9914892372717664
133,-0.9952344639160976
134,-3.559700025418674
135,2.8745299228743812
136,0.15428427336645426
137,0.19017178057721676
138,-2.2032982742211096
139,-0.4158050174568365
140,0.07783116198667735
141,-1.9813322659456145
142,0.39346183880871805
143,-4.2229890675370605
144,-1.441547331914107
145,-0.4485384893515246
146,-3.610400740657251
147,1.753278440088663
148,2.1494275477416447
149,-0.44553121183060895
150,1.0180679987385115
151,3.7691979576138155
152,-1.0553293457870347
